doc_id	source	sentiment	year_published	bias	cluster_label	sentence	lemmatized_sent
180637875	Dnevnik	neutral	2014	left	2	Levica se je zadnje leto ukvarjala z reševanjem gospodarske krize in ji to področje ni bilo prioritetno , desnica z rimskokatoliško cerkvijo svojo siceršnjo idejno in moralno izpraznjenost maskira s kulturnim bojem , ustavno sodišče pa je pri odločanju zelo nepredvidljivo .	levica se biti zadnji leto ukvarjati z resevanje gospodarski kriza in on ta podrocje biti biti prioritetno , desnica z rimskotatoliska cerkev svoj sicersnja idejna in moralno izpraznjenost maskira z kulturen boj , ustaven sodisce pa biti pri odlocanje zelo nepredvidljiv .
149658644	Delo	negative	2014	left	2	Profesor prava na univerzi Birkbeck v Londonu , kjer je tudi direktor inštituta za humanistične študije , je eden najbolj uglednih analitikov krize .	profesor pravi na univerza birkbeck v london , kjer biti tudi direktor institut za humanisticna studija , biti eden najbolj ugleden analitik kriza .
229908345	Delo	neutral	2014	left	2	Spomnili so se , da bi nemara bilo najpametneje , da napadejo bližnjo vas in oropajo njene prebivalce in tako rešijo lastno težavo krize .	spomnil biti se , da biti nemara biti pogometnej , da napadej bliznji ti in oropaja njen prebivalec in tako resija lasten tezava kriza .
229908345	Delo	neutral	2014	left	2	Zdi se mi , da hočete reči , da ne verjamete v recesije , krize ?	zdeti se jaz , da hoteti reci , da ne verjeti v recesija , kriza ?
237064384	Delo	neutral	2014	left	2	Slednji so tudi največje žrtve ideologije varčevanja , s katero smo zdravili simptome zadnje gospodarske krize .	slednji biti tudi velik zrtev ideologija varcevanje , z kateri biti zdravilo simpt zadnji gospodarski kriza .
237511882	Dnevnik	negative	2014	left	2	Vse kaže , da ne na začetku 80. let , ko je nastala Mametova drama , ne na začetku 90. let prejšnjega stoletja , ko se je na njeni podlagi pojavil še film , banke še niso bile tako radodarne s hipotekarnimi krediti , ki so bili potem eden izmed vzrokov bančne luknje oziroma krize .	ves kazati , da ne na zacetek 80 . leto , ko biti nastati mametova dram , ne na zacetek 90 . leto prejsnji stoletje , ko se biti na njen podlaga pojaviti se film , banka se biti biti tako radodarna z hipotekarn krediti , ki biti biti potem eden izmed vzrok bancen luknja oziroma kriza .
221927249	Delo	neutral	2014	left	2	Korak iz krize v novo preživetje ustanove , ki je podobne krize kot zdaj doživljala že nekajkrat .	korak iz kriza v nov prezivetje ustanova , ki biti podoben kriza kot zdaj dozivljala ze nekajkrat .
171078059	Delo	neutral	2014	left	2	Rekel je , da mu je med načrti za izhod iz krize najbolj všeč akcija za zaposlovanje mladih .	reci biti , da on biti med nacrt za izhod iz kriza najbolj vsec akcija za zaposlovanje mlad .
220193022	Delo	negative	2014	left	2	Še več , v času tržnega gospodarstva in svetovne finančne krize so njihove pravice ponovno načete .	se vec , v cas trzneg gospodarstvo in svetoven financen kriza biti njihov pravica ponovno nacet .
146446452	Delo	neutral	2014	left	2	V razvitem zahodnem delu EU se posledice gospodarskih razmer in krize evropske identitete kažejo skozi nenehno omejevanje človekovih pravic , v manj razvitih vzhodnih članicah pa je ponekod opaziti že kar skrb vzbujajoče demokratično nazadovanje .	v razvitem zahoden del eu se posledica gospodarski razmera in kriza evropski identiteta kazati skozi nenehno omejevanje clovekov pravica , v manj razvit vzhoden clanica pa biti ponekod opaziti ze kar skrb vzbujajoc demokraticno nazadovanje .
146446452	Delo	neutral	2014	left	2	Vse bolj ključno vlogo imajo pri tem mediji , ker so vedno bolj odvisni od zaslužka in kapitala , ta pa seveda zakriva prave vzroke današnje krize .	ves bolj kljucno vloga imeti pri ta medij , ker biti vedno bolj odvisen od zasluzek in kapital , ta pa seveda zakriv pravi vzrok danasnji kriza .
161915599	Delo	neutral	2014	left	2	Na gospodarskem področju so že leta 2011 opozarjali na nepravično delitev ustvarjenega , kar je pripeljalo do sedanje krize .	na gospodarsko podrocje biti ze leto 2011 opozarjal na nepravicna delitev ustvarjeneg , kar biti pripeljati do sedanji kriza .
161915599	Delo	neutral	2014	left	2	Zelo konkreten je bil glede zahtev Združene levice za evropske volitve Mesec : konec varčevalne politike v EU , Evropska centralna banka mora poskrbeti za rešitev dolžniške krize , za katero je glavna krivka , treba je zagnati program za gospodarsko prenovo , nujni sta okoljska preobrazba in demokratizacija zdaj globoko nedemokratične EU .	zelo konkreten biti biti glede zahteva zdruzen levica za evropski volitev mesec : konec varcevalna politika v eu , evropski centralen banka morati poskrbeti za resitev dolzniska kriza , za kateri biti glaven krivka , treba biti zagnat program za gospodarski prenova , nujen biti okoljska preobrazba in demokratizacija zdaj globoko nedemokraticne eu .
294917810	Delo	neutral	2015	left	2	V Italijo se po letih krize vrača gospodarska rast , je še ocenil in dodal , da je to zasluga reform , ki jih je izvedla njegova vlada - med drugim decembra sprejete reforme trga dela .	v italija se po leto kriza vracati gospodarski rast , biti se ocenilo in dodati , da biti ta zasluga reforma , ki on biti izvedel njegov vlada - med drug december sprejet reforma trg delo .
296918347	vecer.com	neutral	2015	left	2	Vseeno pa je Obama državo pohvalil za njeno rešitev krize etničnega nasilja , ki je izbruhnilo po spornih volitvah leta 2007 .	vseeno pa biti obama drzava pohvalilo za njen resitev kriza etnicen nasilje , ki biti izbruhnilo po sporen volitev leto 2007 .
270247620	Delo	neutral	2015	left	2	Po drugi strani pa vojne , napetosti in gospodarske krize v soseščini v Nemčijo res privabljajo rekordne množice priseljencev in del prebivalstva se tega boji .	po drug stran pa vojna , napetost in gospodarski kriza v sosescina v nemcija res privabljaj rekorden mnozica priseljenec in del prebivalstvo se ta bati .
872318340	vecer.com	positive	2018	left	2	V času begunske krize , ki smo ji bili priča pred dvema letoma , sem bil zaskrbljen .	v cas begunska kriza , ki biti on biti prica pred dva leto , biti biti zaskrbljen .
332336811	Delo	neutral	2015	left	2	Sredi begunske krize je namreč Erdoğan postal ključni partner Evropske unije , od katerega je odvisno , ali se bo tok ljudi , ki prihaja v Evropo , v prihodnjih mesecih , le začel zmanjševati .	sredi begunska kriza biti namrec erdogan postati kljucen partner evropski unija , od kateri biti odvisen , ali se biti tok clovek , ki prihajati v evropa , v prihodnji mesec , le zaceti zmanjsevat .
332336811	Delo	neutral	2015	left	2	Leta 2016 Slovenija sicer iz proračuna EU pričakuje 73 milijonov evrov za stroške begunske krize .	leto 2016 slovenija sicer iz proracun eu pricakovati 73 milijon evro za strosek begunska kriza .
