doc_id	source	sentiment	year_published	bias	cluster_label	sentence	lemmatized_sent
218841721	Delo	neutral	2014	left	2	Prav tako so zavestno iz družine izključili pojem materinstva in očetovstva ter v slovar neposredno vključili teorijo spola , ki zanika pomen očetovstva in materinstva za razvoj otroka .	prav tako biti zavesten iz druzina izkljuciti pojem materinstvo in ocetovstvo ter v slovar neposreden vkljucilo teorija spol , ki zanika pomen ocetovstvo in materinstvo za razvoj otrok .
224825500	Delo	positive	2014	left	2	Gre za izobraževali projekt , s katerim spodbujajo sodobni marksizem in kritično teorijo , politično angažirano umetnost in poezijo .	iti za izobrazevalo projekt , z kateri spodbujati sodoben marksizem in kriticen teorija , politicen angazirana umetnost in poezija .
224825500	Delo	positive	2014	left	2	V teh predelih vzhodne in jugovzhodne evrope pogoji za teorijo , raziskovanje in pisanje niso idealni , meni Keti Čukrov .	v ta predel vzhoden in jugovzhoden evropa pogoj za teorija , raziskovanje in pisanje biti idealen , jaz keti cukrov .
224825500	Delo	positive	2014	left	2	V podporo zapuščini Nagrado Igorja Zabela za kulturo in teorijo podeljujeta Fundacija Erste in Društvo Igor Zabel za kulturo in teorijo od leta 2008 .	v podpora zapuscina nagrada igorje zabela za kultura in teorija podeljujeta fundacija ersta in drustvo igor zabel za kultura in teorija od leto 2008 .
224825500	Delo	positive	2014	left	2	Društvo Igor Zabel za kulturo in teorijo skrbi za dediščino in delo umetnostnega zgodovinarja in kustosa Igorja Zabela , ki je bil vse svoje življenje vpet v številna teoretska in kulturna področja .	drustvo igor zabel za kultura in teorija skrbeti za dediscina in delo umetnosten zgodovinar in kustos igorje zabela , ki biti biti ves svoj zivljenje vpet v stevilen teoretska in kulturen podrocje .
237511882	Dnevnik	negative	2014	left	2	Sicer še ne poznamo kakšne filmske zgodbe o ameriških kupcih nepremičnin , ki niso več zmogli odplačevati hipotekarnega posojila ( nekaj smo jih videli in slišali v Moorovem dokumentarcu Kapitalizem : ljubezenska zgodba ) , zato pa je o tem mogoče prebrati zelo zanimivo teorijo Oljea Bjerga v njegovi filozofski razpravi Priti do denarja ( Problemi , št. 7 - 8 , 2014 ) .	sicer se ne poznati kaksen filmska zgodba o ameriski kupec nepremicnina , ki biti vec zmogla odplacevat hipotekarneg posojilo ( nekaj biti on videti in slisati v moorovmo dokumentarc kapitalizem : ljubezenska zgodba ) , zato pa biti o ta mogoc prebrati zelo zanimiv teorija olje bjerg v njegov filozofski razprava prit do denar ( problem , st . 7 - 8 , 2014 ) .
216332501	Dnevnik	neutral	2014	left	2	Teoriji sta vsaj dve .	teorija biti vsaj dva .
216332501	Dnevnik	neutral	2014	left	2	Po drugi teoriji vrhovno sodišče čaka , da med zveznimi prizivnimi sodišči morda pride do večjega razkola ( zdaj vsa zavračajo prepovedi istospolnih porok ) , da bi šele takrat reklo zadnjo besedo , ki bi veljala za vse Združene države .	po drug teorija vrhoven sodisce cakati , da med zvezen priziven sodisce morda priti do velik razkol ( zdaj ves zavracaj prepoved istospolen porok ) , da biti sele takrat reci zadnji beseda , ki biti veljati za ves zdruzen drzava .
184472307	Delo	negative	2014	left	2	Na podlagi ocene , da je teologija tri tisoč let govorila s seksističnim jezikom in moškimi podobami ter simboli , je E. Sorge ( 1987 : 31 ) nedvoumno zahtevala , da je treba na novo oceniti vlogo ter pomen žensk in ženske duhovnosti ; odkriti in preseči vsako obliko sovraštva do žensk in podrejanja žensk v preteklosti ; spremeniti enostransko moško usmerjeno teologijo v teoriji in praksi tako , da bo krščanska religija postala naklonjena ženskam .	na podlaga ocena , da biti teologija trije tisoc leto govoriti z seksisticen jezik in moski podoba ter simbol , biti e . sorge ( 1987 : 31 ) nedvoumno zahtevati , da biti treba na nov ocenit vloga ter pomen zenska in zenska duhovnost ; odkriti in preseci vsak oblika sovrastvo do zenska in podrejanje zenska v preteklost ; spremeniti enostransko mosko usmerjena teologija v teorija in praksa tako , da biti krscanska religija postati naklonjen zenska .
336703645	Delo	neutral	2015	left	2	Znana je Cestnikova teza , da je današnja levica poročila tako moralno kot spoznavno relativistično teorijo , predvsem na področju teorije spolov .	znan biti cestnikova teza , da biti danasnja levica porocilo tako moralno kot spoznavno relativisticno teorija , predvsem na podrocje teorija spol .
263149802	Delo	neutral	2015	left	2	Nadaljnji trije se ukvarjajo z domnevnimi katastrofičnimi posledicami istospolnih porok za zasebno šolstvo in vzgojo vobče , še trije predstavljajo polnokrvno teorijo zarote , medtem ko imata le dve ( s številko : 2 ) alinei , prva in zadnja , dovolj zveze z realnostjo , da je o njiju mogoča dejanska razprava .	nadaljnji trije se ukvarjati z domneven katastroficen posledica istospolen porok za zaseben solstvo in vzgoja vobca , se trije predstavljati polnokrvan teorija zarota , medtem ko imeti le dva ( z stevilka : 2 ) alinea , prvi in zadnji , dovolj zveza z realnost , da biti o on mogoc dejanska razprava .
255723151	Dnevnik	neutral	2015	left	2	Odprla naj bi vrata posvojitvam otrok v homoseksualne skupnosti in povzročila diskriminacijo vseh , ki se ne strinjajo s teorijo spola .	odprla naj biti vrata posvojitev otrok v homoseksualna skupnost in povzrociti diskriminacija ves , ki se ne strinjaja z teorija spol .
293545806	Delo	neutral	2015	left	2	Glede na morbidne filozofske literarne reference s katerimi je prežeta ta sezona , gre morda dati kaj na teorijo , da je Velcoro že mrtev ( ali pa vsaj na gotovi poti v onostranstvo ) in je tako postal nekakšen Virgil , ki ostale junake vodi skozi pekel .	glede na morbiden filozofska literaren referenca z kateri biti prezet ta sezona , iti morda dati kaj na teorija , da biti velcoro ze mrtev ( ali pa vsaj na got pot v onostranstvo ) in biti tako postati nekaksen virgilo , ki ostal junak voditi skozi pekel .
254486997	Delo	neutral	2015	left	2	Koalicija Za otroke gre , ki jo vodita Metka Zevnik iz Združenja starih staršev Slovenije in Aleš Primc iz Civilne iniciative za družino in pravice otrok , bo vse zagovornike pravic otrok in staršev , kot so zapisali , povabila , naj se zberejo ob 16.30 pred parlamentom , da bi poslanci zavrnili radikalni predlog Združene levice in uvedbo redefinicije zakonske zveze , ki bo odprla vrata posvojitvam otrok v homoseksualne skupnosti ter diskriminaciji vseh , ki se ne strinjajo s sporno teorijo spola .	koalicija za otrok iti , ki on voditi metka zevnik iz zdruzenja star stars slovenija in ales primc iz civilna iniciative za druzina in pravica otrok , biti ves zagovornik pravica otrok in stars , kot biti zapisati , povabiti , naj se zbrati ob 16 . 30 pred parlament , da biti poslanec zavrniti radikalna predlog zdruzen levica in uvedba redefinicija zakonski zveza , ki biti odpreti vrata posvojitev otrok v homoseksualna skupnost ter diskriminacija ves , ki se ne strinjaja z sporen teorija spol .
336326214	Delo	neutral	2015	left	2	Nasprotujejo posvojitvam v istospolne skupnosti , novela po mnenju SDS omogoča tudi eksperiment po teoriji spola in redefinira družino .	nasprotujej posvojitev v istospolen skupnost , novela po mnenje sds omogocati tudi eksperiment po teorija spol in redefinira druzina .
313029369	Delo	neutral	2015	left	2	Izvori homoseksualnosti : Na sprehodu po teoriji spolov .	izvor homoseksualnost : na sprehod po teorija spol .
