doc_id	source	sentiment	year_published	bias	cluster_label	sentence	lemmatized_sent
689635503	Delo	neutral	2017	left	4	Še posebej pomembno pa je , da bodo hostije zamesile in spekle samo osebe globoke vernosti , pobožne gospe , ki bodo pazile , da v hostijo ne bo zašlo karkoli , kaj šele sadje ali sladkor , kar se je menda doslej dogajalo pri hostijah iz proste prodaje .	se posebej pomemben pa biti , da biti hostija zamesila in spekle samo oseba globok vernost , pobozna gospa , ki biti pazilo , da v hostija ne biti zasla karkoli , kaj sele sadje ali sladkor , kar se biti menda doslej dogajati pri hostija iz prost prodaja .
6275439733	vecer.com	neutral	2020	left	4	Prepričan konservativec in človek globoke krščanske vere Pence namreč vse od leta 2016 ni storil ničesar , s čimer bi vsaj v javnosti razjezil eksplozivnega šefa .	preprican konservativec in clovek globok krscanski vera penca namrec ves od leto 2016 biti storiti nic , z kar biti vsaj v javnost razjeziti eksplozivneg sef .
759705406	Nova24TV	neutral	2017	right	4	Najbrž je kakšnega novinarja sem ter tja vendarle zapekla vest zaradi pristranskega poročanja o izmišljeni aferi Patria , ki so jo skuhali strici iz globoke države tam ob smetišču , ko so se sprehajali po preprogi brezhrbteničnih novinarjev .	najbrz biti kaksen novinar biti ter tja vendarle zapeklo vest zaradi pristranski porocanje o izmisljen afera patria , ki biti on skuhali stric iz globok drzava tam ob smetisce , ko biti se sprehajati po preproga brezhrbtenicen novinar .
759705406	Nova24TV	neutral	2017	right	4	Kadar prostituti globoke države perejo terorističen denar , zaplenijo nekomu dom zaradi nekaj evrov dolga in hkrati podarijo milijone nesposobnemu menedžerju , ki jih morajo zaslužiti državljani , je potreben Hyde Park Corner .	kadar prostitut globok drzava pereja teroristicen denar , zaplenija nekdo dom zaradi nekaj evro dolg in hkrati podarija milijon nesposoben menedzer , ki on morati zasluziti drzavljan , biti potreben hyde park corner .
759705406	Nova24TV	neutral	2017	right	4	Zapustil je izkušnjo , da je svobodo govora in njegovega vpliva moč vzpostaviti kljub globoki državi , in zato si zasluži zlato priznanje .	zapustilo biti izkusnja , da biti svoboda govor in njegov vplivati moc vzpostaviti kljub globok drzava , in zato se zasluziti zlat priznanje .
757922006	Nova24TV	neutral	2017	right	4	Janković in Kopač Mrakova sta namreč od omrežja globoke države skrbno izbrani figuri za odlikovanje .	jankovic in kopac mrakova biti namrec od omrezje globok drzava skrbno izbran figura za odlikovanje .
989927483	Nova24TV	negative	2018	right	4	Plačanka zlobnega milijarderja George Sorosa in evroposlanka Tanja Fajon je že pred tedni razburila javnost z okroglo mizo , na kateri so strašili pred strahom , ki naj bi ga širila desnica , s svojo udeležbo pa je navzoče presenetil kar šef globoke države Milan Kučan , pogovor pa je povezovala kar novinarka javne hiše Ksenija Horvat .	placanka zloben milijarder george soros in evroposlanka tanja fajon biti ze pred teden razburiti javnost z okrogel miza , na kateri biti strasilo pred strah , ki naj biti on sirilo desnica , z svoj udelezba pa biti navzoc presenetiti kar sef globok drzava milan kucan , pogovor pa biti povezovati kar novinarka javen hisa ksenija horvat .
989927483	Nova24TV	negative	2018	right	4	Milan Kučan na Ilovi Gori najavil pregon sovražnega govora , Fajonova ukazom že sledi Udeležence ni presenetila niti prisotnost zadnjega šefa komunistične partije in vodje globoke države Milana Kučana , ki zadnje čase redno spremlja podobne zadeve , nedavno je bil namreč prisoten tudi na FDV , kjer je potekal pogovor z jugodiplomatom Zvonetom Draganom .	milan kucan na ilov gora najavilo pregon sovrazen govor , fajonova ukaz ze slediti udelezenec biti presenetiti niti prisotnost zadnji sef komunisticna partija in vodja globok drzava milan kucan , ki zadnji cas redno spremljati podoben zadeva , nedavno biti biti namrec prisoten tudi na fdv , kjer biti potekati pogovor z jugodiplomat zvonet dragan .
968279470	Nova24TV	neutral	2018	right	4	Na spletnem portalu in televiziji Nova24TV že dlje časa opozarjamo na to , da je RTV Slovenija dejansko pod popolnim vplivom lobijev in politike oziroma kar celotne globoke države .	na spleten portal in televizija nova2dtvo ze dolgo cas opozarjama na ta , da biti rtv slovenija dejansko pod popoln vpliv lobi in politika oziroma kar celoten globok drzava .
968279470	Nova24TV	neutral	2018	right	4	Le vprašanje je , ali je to zato , ker so kolegi Možine klonili pod pritiskom lobija in si iz strahu niso upali poročati o tem ali pa gre celo za tiho strinjanje s sporočilom protestov , da naj se svoboda govora na javni televiziji omeji do te mere , da bo televizija postala reklamni servis leve politične opcije pod oblastjo globoke države ? !	le vprasanje biti , ali biti ta zato , ker biti kolega mozina kloniti pod pritisk lobij in se iz strah biti upati porocati o ta ali pa iti celo za tiho strinjanje z sporocilo protest , da naj se svoboda govor na javen televizija omejiti do ta mera , da biti televizija postati reklamen servis lev politicen opcija pod oblast globok drzava ? !
