doc_id,class,sentiment,year_published,bias,cluster_label,sentence,lemmatized_sent
150780246,Delo,negative,2014,left,1,"Filma se sicer drži sloves eksplicitne lezbične spolnosti , a poanta ni v homoerotični ljubezni .","film se sicer drzati sloves ekspliciten lezbicen spolnost , a poant biti v homoeroticna ljubezen ."
214349950,Delo,neutral,2014,left,1,"Na nas , ženskah , feministkah , je odgovornost , da se ukvarjamo tudi s tem pojavom , saj vemo , da obstajajo tudi ženske , ki so nasilne do moških , otrok in v lezbičnih razmerjih .","na jaz , zenska , feministka , biti odgovornost , da se ukvarjati tudi z ta pojav , saj vedeti , da obstajati tudi zenska , ki biti nasilna do moski , otrok in v lezbicen razmerje ."
229194049,Dnevnik,positive,2014,left,1,Prvi festival gejevskega in lezbičnega filma se je v Ljubljani zgodil pred natanko tridesetimi leti pod imenom Magnus in velja za najstarejši festival te vrste v Evropi .,prvi festival gejevski in lezbicen film se biti v ljubljana zgoditi pred natanko trideset leto pod ime magnus in veljati za star festival ta vrsta v evropa .
229194049,Dnevnik,positive,2014,left,1,"Pozneje se je večkrat preimenoval , med drugim v Dneve gej filma pa v Teden gejevskega in lezbičnega filma , ker pa so filmi čedalje bolj prinašali še druge podobne tematike - transspolne , transseksualne , queer - so ga ob sedanjem jubileju preimenovali v Festival LGBT filma .","pozno se biti veckrat preimenovalo , med drug v dan gej film pa v teden gejevski in lezbicen film , ker pa biti film cedalje bolj prinasal se drug podoben tematika - transspoln , transseksualna , queer - biti on ob sedanji jubilej preimenovalo v festival lgbt film ."
230301721,vecer.com,neutral,2014,left,1,"Pripadniki indijske gejevske in lezbične skupnosti zahtevajo , da vlada odpravi zakon , ki izvira še iz kolonialnih časov Indije in ki prepoveduje spolne odnose med ljudmi istega spola .","pripadnik indijska gejevski in lezbicen skupnost zahtevati , da vlada odprava zakon , ki izvirati se iz kolonialni cas indija in ki prepovedoja spolen odnos med clovek isti spol ."
148504299,Delo,positive,2014,left,1,"Duša je omenil , da so romaneskne zgodbe začinjene z različnimi spolnimi praksami , varanjem , sadomazohizmom , svinganjem , prostitucijo , edini lezbični roman je napisal moški .","dusa biti omeniti , da biti romaneska zgodba zacinjen z razlicen spolen praksa , varanje , sadomazohizem , svinganje , prostitucija , edin lezbicen roman biti napisati moski ."
229935630,Delo,neutral,2014,left,1,"Ob častitljivi trideseti obletnici festivala lezbičnega in gejevskega filma , ki se je letos preimenoval v Festival LGBT filma ( lezbičnega , gejevskega , biseksualnega in transspolnega ) , smo se skupaj z organizatorji in selektorji festivala : s pisateljema Branetom Mozetičem in Suzano Tratnik ter Jasmino Šepetavc - ozrli v njegovo preteklost , pogledali pa smo tudi njegov širši kontekst ter se zazrli v letošnji program festivala .","ob castitljiva trideseti obletnica festival lezbicen in gejevski film , ki se biti letos preimenovalo v festival lgbt film ( lezbicen , gejevski , biseksualneg in transspoln ) , biti se skupaj z organizator in selektor festival : z pisatelj branet mozetic in suzana tratnik ter jasmina sepetavc - ozrl v njegov preteklost , pogledati pa biti tudi njegov sirok kontekst ter se zazrl v letosnji program festival ."
229935630,Delo,neutral,2014,left,1,"Prevladujoče občinstvo na prvem festivalu lezbičnega in gejevskega filma davnega leta 1984 je bilo heteroseksualno , pravi Brane Mozetič .","prevladujoc obcinstvo na prvi festival lezbicen in gejevski film daven leto 1984 biti biti heteroseksualen , praviti bran mozetic ."
228904604,Delo,neutral,2014,left,1,"Zaradi LGBT vsebine zgodb sta Tratnikova in Mozetič odgovarjala na številna vprašanja o gejevskih in lezbičnih temah v evropski literaturi , pa tudi o širših družbenih vprašanjih današnje Evrope .","zaradi lgbt vsebina zgodba biti tratnikova in mozetic odgovarjala na stevilen vprasanje o gejevski in lezbicen tema v evropski literatura , pa tudi o sirs druzben vprasanje danasnji evropa ."
234856899,vecer.com,positive,2014,left,1,"Če odraščaš v lezbičnem okolju , na kaj drugega sploh ne pomisliš , je dejala Navratilova , ki je v karieri osvojila kar 167 posamičnih turnirjev , več kot katerikoli drugi poklicni igralec ali igralka .","ce odrascas v lezbicen okolje , na kaj drug sploh ne pomisel , biti dejati navratilova , ki biti v kariera osvojiti kar 16ba posamicen turnir , vec kot katerikoli drug poklicna igralec ali igralka ."
148586780,Dnevnik,neutral,2014,left,1,"Režiser je na platnu poustvaril epsko ( 175 minut ) in obenem intimno zgodbo , ki spremlja odnos lezbičnih deklet od prvega srečanja do njunega razhoda .","reziser biti na platno poustvarilo epsko ( 175 minuta ) in obenem intimna zgodba , ki spremljati odnos lezbicen dekle od prvi srecanje do njun razhod ."
227586826,Dnevnik,neutral,2014,left,1,"Kolaž , kjer strežejo hrano s poudarkom na zdravih sestavinah , je , podobno kot Cafe Open , tudi prostor različnih dogodkov , od literarnih večerov in branja lezbične literature do učenja pripravljanja sušija .","kolaz , kjer strezeja hrana z poudarek na zdrav sestavina , biti , podobno kot cafe open , tudi prostor razlicen dogodek , od literaren vecer in branje lezbicen literatura do ucenje pripravljanje susija ."
209894209,vecer.com,neutral,2014,left,1,Med županskimi kandidati tudi kriminalist NPU in lezbična aktivistka .,med zupanski kandidat tudi kriminalist npu in lezbicen aktivistka .
209894209,vecer.com,neutral,2014,left,1,"Pisateljica , publicistka , didžejka in tudi lezbična aktivistka .","pisateljica , publicistka , didzejka in tudi lezbicen aktivistka ."
168333917,Dnevnik,neutral,2014,left,1,"Tudi newyorški župan Bill de Blasio je prejšnji teden sporočil , da se ne bo udeležil parade , ker lezbični in gejevski aktivisti niso bili povabljeni zraven .","tudi newyorsek zupan bill de blasio biti prejsnji teden sporociti , da se ne biti udeleziti parada , ker lezbicen in gejevski aktivisti biti biti povabljen zraven ."
232331056,Dnevnik,positive,2014,left,1,Odpira se lezbična četrt .,odpira se lezbicen cetrt .
232331056,Dnevnik,positive,2014,left,1,S predstavama Monospolnega gledališča in improskupine V peto gre rado bodo nocoj odprli 3. festival lezbična četrt .,z predstava monospolneg gledalisce in improskupina v peti iti rada biti nocoj odpreti 3 . festival lezbicen cetrt .
232331056,Dnevnik,positive,2014,left,1,"Tudi ali pa prav zato si lepšega darila , kot je lezbični festival , ki zaobjema presek raznovrstne in bogate domače lezbične umetniške produkcije , zrasle iz lezbične scene v skoraj treh desetletjih , ne bi mogle podariti .","tudi ali pa prav zato se lep darilo , kot biti lezbicen festival , ki zaobje presek raznovrsten in bogat domac lezbicen umetniski produkcija , zrasle iz lezbicen scena v skoraj trije desetletje , ne biti moci podarit ."
232331056,Dnevnik,positive,2014,left,1,"Festival bo poleg gledaliških predstav ponudil tudi razstave , delavnice in okroglo mizo na temo , kako nastane lezbični prostor , obetajo pa se tudi literarni večer , koncerti in filmske projekcije .","festival biti poleg gledaliski predstava ponuditi tudi razstava , delavnica in okrogel miza na tema , kako nastati lezbicen prostor , obetati pa se tudi literaren vecer , koncert in filmska projekcija ."
237243402,Delo,negative,2014,left,1,"Nemalo prahu sta dvignili tudi lezbični poroki nekdanje smučarske kraljice Anje Pärson , ki je vzela dolgoletno partnerko Filippo Rådin ( z njo ima že dveletnega sina Elvisa ) , in teniška ikona Martina Navratilova , ki je obljubila večno zvestobo nekdanji sovjetski lepotni kraljici Juliji Lemigovi .","nemalo prah biti dvigniti tudi lezbicen poroka nekdanji smucarski kraljica anje parson , ki biti vzeti dolgoletno partnerka filippo radin ( z on imeti ze dveleten sin elvisa ) , in teniska ikona martin navratilova , ki biti obljubilo vecen zvestoba nekdanji sovjetski lepotna kraljica julij lemigov ."
241315166,Delo,neutral,2015,left,1,"Ti so dotedanjo ureditev prepoznali kot diskriminatorno , postopki umetne oploditve pa so od letošnjega 1. januarja dovoljeni tudi za samske ženske in lezbične pare .","ta biti dotedanji ureditev prepoznati kot diskriminatorna , postopek umeten oploditev pa biti od letosnji 1 . januar dovoljen tudi za samska zenska in lezbicen pare ."
