doc_id	source	sentiment	year_published	bias	cluster_label	sentence	lemmatized_sent
212707439	Dnevnik	positive	2014	left	1	V klubskih razmerjih se delo poklicnih glasbenikov v marsičem približuje statusu amaterskih glasbenikov .	v klubski razmerje se delo poklicen glasbenik v marsikaj priblizuj status amaterski glasbenik .
1394041611	vecer.com	negative	2019	left	1	Zadržana sem tudi do raznih tatujev , recimo napisov moja lastnina , ki si jo nemalokrat omislijo ljudje v razmerjih suženj : lastnik .	zadrzan biti tudi do razen tatu , reci napis moj lastnina , ki se on nemalokrat omislija clovek v razmerje suzenj : lastnik .
1234007235	Delo	neutral	2019	left	1	Bolsonaro , ki se v mednarodnih razmerjih zaradi prijateljstva s Trumpom počuti dobro kot muha na slonu , je bitko torej izgubil v hipu , ko je spet prejel Trumpovo pohvalo , češ da se odlično spopada s požari v amazonskih gozdovih .	bolsonaro , ki se v mednaroden razmerje zaradi prijateljstvo z trump pocutiti dobro kot muh na slon , biti bitko torej izgubiti v hip , ko biti spet prejeti trumpovo pohvala , ces da se odlicno spopadati z pozar v amazonski gozd .
214349950	Delo	neutral	2014	left	1	Po srbski raziskavi o umorih v partnerskih razmerjih kar 65 odstotkov žensk ubije partner , medtem ko le 4,5 odstotka moških umori partnerica , od teh pa jih kar 85 odstotkov to stori po dolgotrajnem partnerjevem nasilju , ki ga institucijam ni uspelo zaustaviti .	po srbski raziskava o umor v partnerski razmerje kar 65 odstotek zenska ubiti partner , medtem ko le 4 , 5 odstotek moski umor partnerica , od ta pa on kar 85 odstotek ta storiti po dolgotrajnem partnerjevma nasilje , ki on institucija biti uspeti zaustavit .
214349950	Delo	neutral	2014	left	1	Na nas , ženskah , feministkah , je odgovornost , da se ukvarjamo tudi s tem pojavom , saj vemo , da obstajajo tudi ženske , ki so nasilne do moških , otrok in v lezbičnih razmerjih .	na jaz , zenska , feministka , biti odgovornost , da se ukvarjati tudi z ta pojav , saj vedeti , da obstajati tudi zenska , ki biti nasilna do moski , otrok in v lezbicen razmerje .
1335472555	vecer.com	negative	2019	left	1	Večina anketirank je svoje zakone opisala kot aseksualne , pri čemer jih je 64 odstotkov potrdilo , da se v svojih primarnih razmerjih počutijo seksualno zanemarjene .	vecina anketiranka biti svoj zakon opisati kot aseksualna , pri kar on biti 64 odstotek potrdilo , da se v svoj primarn razmerje pocutiti seksualno zanemarjen .
234300889	Dnevnik	neutral	2014	left	1	S predlaganimi spremembami po Vatovčevih besedah sledijo stališču ustavnega sodišča , da gre pri življenjski skupnosti dveh oseb istega spola za enake pravne in dejanske podlage skupnosti , kot to velja za zakonsko zvezo , urejeno v zakonu o zakonski zvezi in družinskih razmerjih .	z predlagan sprememba po vatovcev beseda slediti stalisce ustaven sodisce , da iti pri zivljenjski skupnost dva oseba isti spol za enak praven in dejanski podlaga skupnost , kot ta veljati za zakonski zveza , urejen v zakon o zakonska zveza in druzinski razmerje .
313845478	vecer.com	neutral	2015	left	1	Ustavno sodišče bo danes nadaljevalo obravnavo pritožbe skupine državljanov zoper sklep DZ o zavrnitvi razpisa zakonodajnega referenduma o noveli zakona o zakonski zvezi in družinskih razmerjih .	ustaven sodisce biti danes nadaljevati obravnava pritozba skupina drzavljan zoper sklep dz o zavrnitev razpis zakonodajnig referendum o novel zakon o zakonska zveza in druzinski razmerje .
316192668	vecer.com	neutral	2015	left	1	DZ je razpis referenduma o noveli zakona o zakonski zvezi in družinskih razmerjih , ki pravice homoseksualnih parov izenačuje s pravicami heteroseksualnih parov , zavrnil 26. marca letos .	dz biti razpis referendum o novel zakon o zakonska zveza in druzinski razmerje , ki pravica homoseksualni par izenacuj z pravica heteroseksualni par , zavrniti 26 . marec letos .
255957648	Delo	neutral	2015	left	1	Noveli zakona o zakonski zvezi in družinskih razmerjih ( ZZZDR ) , ki bo predvidoma začela veljati čez 6 mesecev , so enotno nasprotovali pri SDS in NSi , poslanci Desusa in SMC so glasovali po svoji vesti .	novela zakon o zakonska zveza in druzinski razmerje ( zzzdr ) , ki biti predvidoma zaceti veljati cez 6 mesec , biti enoten nasprotovati pri sds in nsi , poslanec desus in smc biti glasovati po svoj vest .
